,index,Premise 1,Conclusion,Premise 1_f1
0,1,"Trusted Source, like rural South Africans, heart attacks and stroke, cancer such as breast and colon cancer, diabetes, epilepsy and seizures, obesity, and oral health problems are very low.","In populations that eat a regular high-fiber diet of more than 50 grams of fiber per dayTrusted Source, like rural South Africans, heart attacks and stroke, cancer such as breast and colon cancer, diabetes, epilepsy and seizures, obesity, and oral health problems are very low.",0.9323829412460328
1,2,A structured learning environment encourages children to enjoy learning,An ideal learning environment encourages children to enjoy learning,0.9421848654747008
2,3,Underrepresented female labor force is not being able to demand rights of closing wage gap easily.,Job discrimination comes with not being able to demand rights of closing wage gap easily.,0.9645342826843262
3,4,Negative attitude brings brings serious health problems such as stomach reflexes.,Aggression brings brings serious health problems such as stomach reflexes.,0.9421490430831908
4,7,Batman used an electronic disruptor.,Batman opened an access for police forces to regain the control of Miagami Island.,0.9374151229858398
5,8,Occupational therapy develops critical thinking skills. ,Occupational therapy can help children to be self-motivated,0.9120489358901978
6,9,a more comfortable cash-flow management is the key to a more efficient financial system, World Trade Organization work towards the  more comfortable cash-flow management,0.9073475003242492
7,10,Fast food is known to be high in calories.,Fast food makes it hard for people to reach their recommended daily intake of fresh fruit at least 5 servings.,0.9287719130516052
8,11,Resistance to insulin allows your body to transport glucose from your bloodstream to your cells more efficiently,Intermittent fasting allows your body to transport glucose from your bloodstream to your cells more efficiently,0.9781646132469176
9,16,the growth of creative industries could impact on overall unemployment,creative services could impact on overall unemployment,0.9325062036514282
10,17,Asghar Farhadi directed “The Best Foreign Language Film”.,Asghar Farhadi honors the corresponding cinema industry.,0.9147872924804688
11,18, Worldwide agriculture is the largest employer of workers, Worldwide agriculture is the largest employer  that interferes with children's ability to attend regular school,0.946399450302124
12,20,Exam time pressure increases stress,Exam time pressure makes digestion less efficient ,0.9895823001861572
13,22,Avicenna was a book about ancient medicine.,Avicenna influenced modern medicine.,0.8733015060424805
14,24,The advancement of technology made people's life easier.,cars made people's life easier during the last decades.,0.9412997961044312
15,25,franchisees have access to capital,franchisees will experience less financial risks,0.9441131949424744
16,26,Flooding may occur as a result of water flow from water bodies,Flooding may occur as an result of melting the snow on mountains ,0.9697805047035216
17,28,"horses, mules, oxen, water buffalo, camels, llamas, alpacas, donkeys, and dogs are farm animals","horses, mules, oxen, water buffalo, camels, llamas, alpacas, donkeys, and dogs have for centuries been used to help cultivate fields, harvest crops, wrangle other animals, and transport farm products to buyers",0.9626367688179016
18,29,"The repetitive pursing lips when inhaling and squinting your eyes to keep out smoke, when smoking can contribute to wrinkles.","The repetitive pursing lips when inhaling and squinting your eyes to keep out smoke, when smoking can contribute to wrinkles.",0.9318537712097168
19,30,Early Egyptians’ writing system was based on Hieroglyph.,Early Egyptians’ writing system is currently out-dated.,0.9639959931373596
20,33,Soldiers digged trenches.,Soldiers minimized the projectile impact of enemy’s artillery.,0.9354958534240724
21,35,The gene responsible for determining hair color is called MC1R.,"If the gene responsible for determining hair color is active, it produces eumelanin and a person will have darker skin and hair.",0.9766569137573242
