,index,Premise 2,Conclusion,Premise 2_f1
0,1,"In populations that eat a regular high-fiber diet of more than 50 grams of fiber per dayTrusted Source, like rural South Africans, the levels of fiber are very low.","In populations that eat a regular high-fiber diet of more than 50 grams of fiber per dayTrusted Source, like rural South Africans, heart attacks and stroke, cancer such as breast and colon cancer, diabetes, epilepsy and seizures, obesity, and oral health problems are very low.",0.975437343120575
1,2,An ideal learning environment encourages active learning,An ideal learning environment encourages children to enjoy learning,0.9326165318489076
2,3,Job discrimination comes with not being able to demand rights of women.,Job discrimination comes with not being able to demand rights of closing wage gap easily.,0.9132192134857178
3,4,Aggression brings about negative thinking.,Aggression brings brings serious health problems such as stomach reflexes.,0.9391539096832277
4,7,The activation of the motion detectors opened an access for police forces to regain the control of Miagami Island.,Batman opened an access for police forces to regain the control of Miagami Island.,0.9761933088302612
5,8,Being active can help children to be self-motivated,Occupational therapy can help children to be self-motivated,0.918947696685791
6,9,World Trade Organization work towards the development of international trade, World Trade Organization work towards the  more comfortable cash-flow management,0.9688950181007384
7,10,Low levels of protein makes it hard for people to reach their recommended daily intake of fresh fruit at least 5 servings.,Fast food makes it hard for people to reach their recommended daily intake of fresh fruit at least 5 servings.,0.954983413219452
8,11,Intermittent fasting increases insulin resistance,Intermittent fasting allows your body to transport glucose from your bloodstream to your cells more efficiently,0.9915685653686525
9,16,creative services have a large impact on overall unemployment,creative services could impact on overall unemployment,0.8991081118583679
10,17,Oscar honors the corresponding cinema industry.,Asghar Farhadi honors the corresponding cinema industry.,0.9234619736671448
11,18,Employment interferes with children's ability to attend regular school, Worldwide agriculture is the largest employer  that interferes with children's ability to attend regular school,0.9506698250770568
12,20,Stressing digestion makes digestion less efficient ,Exam time pressure makes digestion less efficient ,0.9696529507637024
13,22,The ancient Iranian religion influenced modern medicine.,Avicenna influenced modern medicine.,0.882556140422821
14,24,cars made people happier during the last decades.,cars made people's life easier during the last decades.,0.9082913398742676
15,25,franchisees will experience less financial risks,franchisees will experience less financial risks,0.909508466720581
16,26,The water escaping its usual boundaries is melting the snow on mountains.,Flooding may occur as an result of melting the snow on mountains ,0.9439821243286132
17,28,"farm animals have for centuries been used to help cultivate fields, harvest crops, wrangle other animals, and transport farm products to buyers","horses, mules, oxen, water buffalo, camels, llamas, alpacas, donkeys, and dogs have for centuries been used to help cultivate fields, harvest crops, wrangle other animals, and transport farm products to buyers",0.9837530851364136
