,index,Premise 2,Conclusion,Premise 2_f1
0,1,"In populations that eat a regular high-fiber diet of more than 50 grams of fiber per day, heart attacks and stroke are very low.","In populations that eat a regular high-fiber diet of more than 50 grams of fiber per dayTrusted Source, like rural South Africans, heart attacks and stroke, cancer such as breast and colon cancer, diabetes, epilepsy and seizures, obesity, and oral health problems are very low.",0.9420629739761353
1,2,An ideal learning environment encourages children to engage in activities,An ideal learning environment encourages children to enjoy learning,0.913974404335022
2,3,Job discrimination comes with low wages.,Job discrimination comes with not being able to demand rights of closing wage gap easily.,0.9273081421852112
3,4,Aggression brings about aggressive behavior.,Aggression brings brings serious health problems such as stomach reflexes.,0.9344888925552368
4,7,The use of an electronic disruptor opened an access for police forces to regain the control of Miagami Island.,Batman opened an access for police forces to regain the control of Miagami Island.,0.961403787136078
5,8,Developing critical thinking skills can help children to be self-motivated,Occupational therapy can help children to be self-motivated,0.904568374156952
6,9,The World Trade Organization work towards the development of a more efficient financial system, World Trade Organization work towards the  more comfortable cash-flow management,0.9311776757240297
7,10,Fast food makes it hard for people to reach their recommended daily intake of fresh fruit at least 5 servings.,Fast food makes it hard for people to reach their recommended daily intake of fresh fruit at least 5 servings.,0.9615586400032043
8,11,Intermittent fasting increases insulin sensitivity,Intermittent fasting allows your body to transport glucose from your bloodstream to your cells more efficiently,0.9850630164146424
9,16,creative services could impact on overall unemployment,creative services could impact on overall unemployment,0.8937522172927856
10,17,The Best Foreign Language Film honors the corresponding cinema industry.,Asghar Farhadi honors the corresponding cinema industry.,0.9279289245605468
11,18,Child labour interferes with children's ability to attend regular school, Worldwide agriculture is the largest employer  that interferes with children's ability to attend regular school,0.9625908136367798
12,20,increased stress makes digestion less efficient ,Exam time pressure makes digestion less efficient ,0.9579243063926696
13,22,The ancient medicine influenced modern medicine.,Avicenna influenced modern medicine.,0.8899194002151489
14,24,cars made people's life easier during the last decades.,cars made people's life easier during the last decades.,0.905972957611084
15,25,franchisees will experience less financial risks,franchisees will experience less financial risks,0.9095084071159364
16,26, melting the snow on mountains increases the water level,Flooding may occur as an result of melting the snow on mountains ,0.9346072673797609
17,28,"farm animals have for centuries been used to help cultivate fields, harvest crops, wrangle other animals, and transport farm products to buyers","horses, mules, oxen, water buffalo, camels, llamas, alpacas, donkeys, and dogs have for centuries been used to help cultivate fields, harvest crops, wrangle other animals, and transport farm products to buyers",0.9837531447410583
18,29,The repetitive pursing lips when inhaling and squinting eyes can contribute to wrinkles.,"The repetitive pursing lips when inhaling and squinting your eyes to keep out smoke, when smoking can contribute to wrinkles.",0.9175719022750854
19,30, Hieroglyph is currently out-dated.,Early Egyptians’ writing system is currently out-dated.,0.9488526582717896
20,33,Destroying enemy trenches minimized the projectile impact of enemy’s artillery.,Soldiers minimized the projectile impact of enemy’s artillery.,0.950741171836853
21,35,"If MC1R is active, it produces eumelanin and a person will have darker skin and hair.","If the gene responsible for determining hair color is active, it produces eumelanin and a person will have darker skin and hair.",0.9830050468444824
22,36,The person’s immune system responds by producing HIV antibodies.,"During the first few weeks after someone contracts HIV the virus reproduces rapidly, the person’s immune system responds by producing HIV antibodies.",0.9508154392242432
23,37,Consuming too much sugar especially from sugar-sweetened drinks has been kinked to atherosclerosis.,"Consuming too much sugar especially from sugar-sweetened drinks has been kinked to a disease characterized by fatty, artery-clogging deposits.",1.0000001192092896
24,40,Your thoughts create your behavior.,Your thoughts creates your behavior.,0.9509314894676208
25,41,I won't buy this lamp,I won't buy this lamp,0.9069743156433104
26,44,Robins have feathers.,Robins have feathers.,0.9106675386428832
27,47,Farmers help the economic.,Farmers help the economic.,0.9076898694038392
28,53,Most U.S. Teens See mental illness as a Major Problem Among Their Peers,Most U.S. Teens See mental illness as a Major Problem Among Their Peers,0.9830818176269532
29,61,Self-confidence is closely interwoven with not being concerned with the welfare of the society ,Focusing on work is closely interwoven with not being concerned with the welfare of the society ,0.9542784690856934
30,62,Reduction of oxygen in the body makes skin paler.,Smoking decreases blood flow and makes skin paler.,0.9132747054100036
31,63,Lemons may help you look younger,Vitamin C found in lemons may help you look younger,0.8891765475273132
32,65,increased blood flow decreases the risks of venous disorders,massage decreases the risks of venous disorders,0.9728193879127502
33,67,Preventing food from spoiling,Vinegar inhibits food from spoiling,0.8870197534561157
34,70,the Italian Renaissance painter Michelangelo created the Last Judgment,the Italian Renaissance painter Michelangelo is Considered by some the greatest artist of all time,0.8958967328071594
35,71,The International Shark Attack File describes shark attacks as,The International Shark Attack File describes shark attacks as the person is alive when bitten.,0.9638031125068665
36,72,Both are looking very quickly at the object of interest until both are engaging.,Babies can see an adult following their gaze and try to draw the adult’s attention to something that interests them by looking very quickly at the object of interest until both are engaging.,0.9169635772705078
37,78,You develop a sense of trust in him,Your child is more likely to make logical decisions when you develop a sense of trust in him,0.92332261800766
38,82,There is no kind of marketing service in the world that would be suitable for small businesses,There is no kind of marketing service in the world that would be suitable for small businesses,0.976696252822876
39,85,students can use iPads to learn better class materials.,students can use iPads to learn better class materials.,0.9516803622245787
40,86,A quick and easy booking allows you to visit places that are close to you,Tourists prefer  a quick and easy booking,0.8935651183128357
41,90,my neighbors can hear every single word of what I say,my neighbors can hear every single word of what I say,0.9376935362815856
42,92,The smart use of Smartphone helps the brain to stay active.,The smart use of Smartphone  helps the brain to stay active.,0.9414013624191284
43,93,When you're not changing you’re not being intelligent,If you’re not changing you’re not being intelligent,0.9495711922645568
44,94,The telogen period affects about 15% of all hairs at a time.,Telogen period affects about 15% of all hairs at a time.,0.8803290724754333
45,98,Sheikh Fazlollah proclaimed the independence of Iran.,Sheikh Fazlollah contributed to the establishment of a parliament in Iran.,0.9214281439781188
46,99,It’s important to understand during the day when the body feels more alert as well as the time of day the body wants sleep.,It’s important to understand during the day when the body feels more alert as well as the times of day the body wants sleep.,0.90277898311615
47,105,increased flood risks result in greater flood risks,high temperatures result in greater flood risks,0.923322319984436
48,106,People who smoke must consider quitting smoking,Babysitters must consider quitting smoking,0.9303374290466307
49,107,sprawling multi-winged building designs tend to encourage higher levels of energy,sprawling multi-winged building designs are often avoided in favor of more centralized structures in low energy building designs,0.8935309052467346
50,109,Perforated dams prevent flooding.,Perforated dams prevent massive destruction to villages located on the downstream.,0.9609014987945556
51,110,people who have difficulty concentrating tend to have eating disorders,workers with long working hours tend to have eating disorders,0.9061747193336488
52,111,There will be a decrease in the number of bookings if there’s a shortage of hot water inside the rooms,There will be a decrease in the number of bookings if there’s a shortage of hot water inside the rooms,0.9175143837928772
53,113,Damaging the beam reduces the beam stiffness.,Flexural loads decrease the beam stiffness.,0.938298523426056
54,114,people who smoke can't enjoy the taste of foods anymore.,people who smoke can't enjoy the taste of foods anymore.,0.9223358631134032
55,117,"my friend and I are going to see a musical play named ""Rent""","my friend and I are going to see a musical play named ""Rent""",0.8951453566551208
56,118,Interacting with other people boosts your productivity,Interacting with other skyrockets your productivity,0.9485929608345032
57,120,"When security levels are low, threats rise",populist waves often rise when security levels are low,0.9170685410499572
58,125,Fiber plays a massive role in well-functioning of our Digesting system.,Vegetables and fruits play a massive role in well-functioning of our Digesting system.,0.9850465059280396
59,128,Fossil fuels and anthropogenic activity actually have fundamentally caused climate change.,Fossil fuels and anthropogenic activity actually has fundamentally caused the global warming that all over the world are faced to.,0.9782734513282776
60,129,The water behind the dams generate electricity.,The water behind the dams generate electricity.,0.9431248903274536
61,131,Humans and chimpanzees share similar characteristics.,Humans and chimpanzees are classified in a same category.,0.980579435825348
62,136,Antioxidants may protect against alzheimer's disease.,Direct enhance in brain function may protect against alzheimer's disease.,0.9688225388526917
63,137,Mount Tomuraushi is in japan.,Mount Tomuraushi is in japan.,0.8660417199134827
64,140,Critical thinking can effectively enhance learning for students.,Critical thinking can effectively enhance learning for students.,0.9123826622962952
65,145,Pesticides contain toxic chemicals,Pesticides warrant the development of a new pesticide,0.8623278737068176
66,146,"Unlike houses, apartment complexes have a lot of space","Unlike houses, apartment complexes can contribute to a very convenient living arrangement",0.9442974328994752
67,149,Many marriages break up due to lack of supervision,Many marriages break up due to poverty,0.9461148381233216
68,151,Smokey symbol is Smokey symbol.,He wanted to choose bear as Smokey symbol.,0.883643388748169
69,152,"Pneumonia  develops cough with phlegm or pus, fever, chills, and difficulty breathing","Pneumonia  develops cough with phlegm or pus, fever, chills, and difficulty breathing",0.9627339243888856
70,155,The hippocampus allows you to recall everything from typing on your keyboard to your first-grade music recital.,"The largest part of the brain that accumulates these memories, placing each one in its proper place, allows you to recall everything from typing on your keyboard to your first-grade music recital.",1.0
71,157,heating the water can lead to boiling,heating the water can lead to boiling,0.8941066265106201
72,2927,heating the water can lead to boiling,heating the water can lead to boiling,0.8941066265106201
73,159,Vitamin A will cause bad effects on your body.,"yellow, red and green (leafy) vegetables will cause bad effects on your body.",0.9698020219802856
74,163,Newspaper writers are supposed to provide unbiased coverage.,Newspaper writers are supposed to generate trust amongst the newspaper readers.,0.96828031539917
