,index,Premise 1,Conclusion,Premise 1_f1
0,1,"In chronic diseases such as heart attacks and stroke, cancer such as breast and colon cancer, diabetes, epilepsy and seizures, obesity, and oral health problems are very low.","In populations that eat a regular high-fiber diet of more than 50 grams of fiber per dayTrusted Source, like rural South Africans, heart attacks and stroke, cancer such as breast and colon cancer, diabetes, epilepsy and seizures, obesity, and oral health problems are very low.",0.9595931172370912
1,2,formative learning encourages children to enjoy learning,An ideal learning environment encourages children to enjoy learning,0.9551486372947692
2,3,Unrepresented women are not able to demand rights of closing wage gap easily.,Job discrimination comes with not being able to demand rights of closing wage gap easily.,0.9510087370872498
3,4,Negative thinking brings brings serious health problems such as stomach reflexes.,Aggression brings brings serious health problems such as stomach reflexes.,0.9373823404312134
4,7,Batman failed to activate his motion detectors.,Batman opened an access for police forces to regain the control of Miagami Island.,0.9191264510154724
5,8,Occupational therapy can help children to become more active,Occupational therapy can help children to be self-motivated,0.9193416833877563
6,9,Improved international trade facilitates more comfortable cash-flow management. , World Trade Organization work towards the  more comfortable cash-flow management,0.9333113431930542
7,10,Fast food is often very low in fresh fruit and vegetables.,Fast food makes it hard for people to reach their recommended daily intake of fresh fruit at least 5 servings.,0.9945552945137024
8,11,Insulin resistance allows your body to transport glucose from your bloodstream to your cells more efficiently,Intermittent fasting allows your body to transport glucose from your bloodstream to your cells more efficiently,0.9814364910125732
9,16,The growth of creative services could impact on overall unemployment,creative services could impact on overall unemployment,0.9192795753479004
10,17,Asghar Farhadi received an oscar for best foreign movie.,Asghar Farhadi honors the corresponding cinema industry.,0.921777844429016
11,18, Worldwide agriculture is the largest employer , Worldwide agriculture is the largest employer  that interferes with children's ability to attend regular school,0.9418250918388368
12,20,Exam time pressure can slow down digestion. ,Exam time pressure makes digestion less efficient ,0.9440385103225708
13,22,Avicenna was the birthplace of the ancient Iranian religion.,Avicenna influenced modern medicine.,0.864391565322876
14,24,electric motors made people's life easier.,cars made people's life easier during the last decades.,0.9331135153770448
15,25,franchisees have the support of an acknowledged organization,franchisees will experience less financial risks,0.958173394203186
16,26,Flooding may occur if some of that water escaping its usual boundaries. ,Flooding may occur as an result of melting the snow on mountains ,0.8973630666732788
