,index,Premise 2,Conclusion,Premise 2_f1
0,1,"In populations that eat a regular high-fiber diet of more than 50 grams of fiber per day,ronic diseases are very low.","In populations that eat a regular high-fiber diet of more than 50 grams of fiber per dayTrusted Source, like rural South Africans, heart attacks and stroke, cancer such as breast and colon cancer, diabetes, epilepsy and seizures, obesity, and oral health problems are very low.",0.9386772513389589
1,2,An ideal learning environment is one with structured assessment,An ideal learning environment encourages children to enjoy learning,0.921288013458252
2,3,Job discrimination comes with underrepresented female labor force in some professions.,Job discrimination comes with not being able to demand rights of closing wage gap easily.,0.9999998211860656
3,4,Aggression creates a negative attitude in an individual.,Aggression brings brings serious health problems such as stomach reflexes.,0.952996790409088
4,7,The use of electronic disruptor opened an access for police forces to regain the control of Miagami Island.,Batman opened an access for police forces to regain the control of Miagami Island.,0.9617771506309508
5,8,Developing critical thinking skills can help children to be self-motivated. ,Occupational therapy can help children to be self-motivated,0.9078666567802428
6,9,The World Trade Organization work towards the development of global business., World Trade Organization work towards the  more comfortable cash-flow management,0.953481137752533
7,10,Low in fresh fruit and vegetables makes it hard for people to reach their recommended daily intake of fresh fruit at least 5 servings.,Fast food makes it hard for people to reach their recommended daily intake of fresh fruit at least 5 servings.,0.96812504529953
8,11,Intermittent fasting lowers insulin resistance,Intermittent fasting allows your body to transport glucose from your bloodstream to your cells more efficiently,0.9953275322914124
9,16,creative services could encourage employment in the fast growing creative industries,creative services could impact on overall unemployment,0.9085898995399476
10,17,The Best Foreign Language Film honors the corresponding cinema industry.,Asghar Farhadi honors the corresponding cinema industry.,0.9279288053512572
11,18,hand working interferes with children's ability to attend regular school., Worldwide agriculture is the largest employer  that interferes with children's ability to attend regular school,0.9587879776954652
12,20,increased stress makes digestion less efficient,Exam time pressure makes digestion less efficient ,0.95792418718338
13,22,Book Al Qanun Fi Al-Tibb influenced modern medicine.,Avicenna influenced modern medicine.,0.9843583106994628
14,24,Car discoveries have been made during the last decades.,cars made people's life easier during the last decades.,0.9137650728225708
15,25,established corporations will experience less financial risks,franchisees will experience less financial risks,0.913503646850586
16,26,water flow from water bodies melting the snow on mountains ,Flooding may occur as an result of melting the snow on mountains ,0.8909732699394226
17,28,"working animals have for centuries been used to help cultivate fields, harvest crops, wrangle other animals, and transport farm products","horses, mules, oxen, water buffalo, camels, llamas, alpacas, donkeys, and dogs have for centuries been used to help cultivate fields, harvest crops, wrangle other animals, and transport farm products to buyers",0.9661337733268738
18,29,The repetitive facial expressions can contribute to wrinkles.,"The repetitive pursing lips when inhaling and squinting your eyes to keep out smoke, when smoking can contribute to wrinkles.",0.9667168259620668
19,30, Hieroglyph is currently out-dated.,Early Egyptians’ writing system is currently out-dated.,0.9488525390625
20,33,Digging trenches minimized the projectile impact of enemy’s artillery.,Soldiers minimized the projectile impact of enemy’s artillery.,0.9568451046943665
21,35,"If MC1R is active, it produces eumelanin and a person will have darker skin and hair.","If the gene responsible for determining hair color is active, it produces eumelanin and a person will have darker skin and hair.",0.9830049872398376
22,36,"In the acute infection stage the virus reproduces rapidly, the person’s immune system responds by producing HIV antibodies.","During the first few weeks after someone contracts HIV the virus reproduces rapidly, the person’s immune system responds by producing HIV antibodies.",0.9901453852653505
23,37,Consuming too much sugar especially from sugar-sweetened drinks has been kinked to a disease called atherosclerosis.,"Consuming too much sugar especially from sugar-sweetened drinks has been kinked to a disease characterized by fatty, artery-clogging deposits.",0.9886896014213562
24,40,Your thoughts are your thoughts.,Your thoughts creates your behavior.,0.9284847378730774
25,41,I won't buy this expensive lamp,I won't buy this lamp,0.9197322130203248
26,44,All animals should have feathers.,Robins have feathers.,0.920391082763672
27,47,Growing a huge amount of crops in Iran help the economic.,Farmers help the economic.,0.9304400086402892
28,53,Most U.S. Teens See Anxiety as a Major Problem Among Their Peers,Most U.S. Teens See mental illness as a Major Problem Among Their Peers,0.993083357810974
29,61,Taking care of yourself is closely interwoven with not being concerned with the welfare of the society ,Focusing on work is closely interwoven with not being concerned with the welfare of the society ,0.9699723720550536
30,62, narrowing the tiny blood vessels in the outermost layers of skin makes skin paler.,Smoking decreases blood flow and makes skin paler.,0.960287630558014
31,63,You look younger when you have less wrinkles,Vitamin C found in lemons may help you look younger,0.9390024542808532
32,65,increased blood flow decreases the risks of venous disorders,massage decreases the risks of venous disorders,0.9728193879127502
33,67,"When bacteria are growing in food, it spoiling",Vinegar inhibits food from spoiling,0.90225088596344
34,70,"the Italian Renaissance painter Michelangelo is Considered as the painter of ""the last judgment""",the Italian Renaissance painter Michelangelo is Considered by some the greatest artist of all time,0.8775959014892578
35,71,The International Shark Attack File describes shark attacks as an unprovoked attack.,The International Shark Attack File describes shark attacks as the person is alive when bitten.,0.9890536665916444
36,72,Joint attention is the practice of looking very quickly at the object of interest until both are engaging.,Babies can see an adult following their gaze and try to draw the adult’s attention to something that interests them by looking very quickly at the object of interest until both are engaging.,0.92928546667099
37,78,Your child develops a sense of trust in him,Your child is more likely to make logical decisions when you develop a sense of trust in him,0.939087212085724
38,82,There is no kind of marketing service in the world that would be suitable for small businesses,There is no kind of marketing service in the world that would be suitable for small businesses,0.976696252822876
39,85,students can use iPads to participate in visual lessons.,students can use iPads to learn better class materials.,0.9828489422798156
40,86,Customers prefer a quick and easy booking,Tourists prefer  a quick and easy booking,0.9123970866203308
41,90,my neighbors can hear every single word of what I say,my neighbors can hear every single word of what I say,0.9376935362815856
42,92,The smart use of Smartphone improves the functions of the brain.,The smart use of Smartphone  helps the brain to stay active.,0.9541188478469848
43,93,"When you grow, you change your habits",If you’re not changing you’re not being intelligent,0.915019690990448
44,94,Telogen is the period when hair growth comes to a complete stop and the hairs begin to fall out.,Telogen period affects about 15% of all hairs at a time.,0.9673343300819396
45,98,Sheikh Fazlollah became the leader of the constitutional revolution.,Sheikh Fazlollah contributed to the establishment of a parliament in Iran.,0.9223574995994568
46,99,It’s important to understand during the day when the body has different rhythms.,It’s important to understand during the day when the body feels more alert as well as the times of day the body wants sleep.,0.9215769171714784
47,105,Early melting of snow at heights result in greater flood risks,high temperatures result in greater flood risks,0.9573019742965698
48,106,Parents must consider quitting smoking,Babysitters must consider quitting smoking,0.925804316997528
49,107,Sprawling multi-winged building designs are often avoided in favor of more centralized structures,sprawling multi-winged building designs are often avoided in favor of more centralized structures in low energy building designs,0.933443009853363
50,109,Perforated dams prevent flooding.,Perforated dams prevent massive destruction to villages located on the downstream.,0.9609014987945556
51,110,psychic health is often linked to eating disorders.,workers with long working hours tend to have eating disorders,0.9140705466270448
52,111,There’s a shortage of hot water inside the rooms,There will be a decrease in the number of bookings if there’s a shortage of hot water inside the rooms,0.9369824528694152
53,113,Cracks in beam sections decrease the beam stiffness.,Flexural loads decrease the beam stiffness.,0.9487952589988708
54,114,people who smoke can't enjoy the taste of foods anymore.,people who smoke can't enjoy the taste of foods anymore.,0.9223358035087584
55,117,"the 1998 tony award winner musical was called ""Rent""","my friend and I are going to see a musical play named ""Rent""",0.9347151517868042
56,118,Interacting with other people makes you happy,Interacting with other skyrockets your productivity,0.9482617378234864
57,120,"In uncertain habitats, security levels are low",populist waves often rise when security levels are low,0.9180936813354492
58,125,Fiber plays a massive role in well-functioning of our Digesting system.,Vegetables and fruits play a massive role in well-functioning of our Digesting system.,0.9850465059280396
59,128,Fossil fuels and anthropogenic activity actually has fundamentally changed the climate.,Fossil fuels and anthropogenic activity actually has fundamentally caused the global warming that all over the world are faced to.,1.0
60,129,Power up the turbines generates electricity.,The water behind the dams generate electricity.,0.9301785230636596
61,131,Humans and chimpanzees share similar characteristics.,Humans and chimpanzees are classified in a same category.,0.980579435825348
62,136,Ginger may protect against alzheimer's disease.,Direct enhance in brain function may protect against alzheimer's disease.,1.0
63,137,Hokkaid? is located in japan.,Mount Tomuraushi is in japan.,0.9482205510139464
64,140,Critical thinking can effectively enhance learning for students.,Critical thinking can effectively enhance learning for students.,0.9123826026916504
65,145,Pesticides warrant the development of a new pesticide,Pesticides warrant the development of a new pesticide,0.907896101474762
66,146,"Unlike houses, apartment complexes have certain facilities near you","Unlike houses, apartment complexes can contribute to a very convenient living arrangement",0.9377880692481996
67,149,Many marriages break up due to quarrels,Many marriages break up due to poverty,0.9549779891967772
68,151,Smokey symbol represents the forest.,He wanted to choose bear as Smokey symbol.,0.9001041650772095
69,152,"Inflammation in the air sacs in one or both lungs develops cough with phlegm or pus, fever, chills, and difficulty breathing","Pneumonia  develops cough with phlegm or pus, fever, chills, and difficulty breathing",0.9707577228546144
70,155,The hippocampus allows you to recall everything from typing on your keyboard to your first-grade music recital.,"The largest part of the brain that accumulates these memories, placing each one in its proper place, allows you to recall everything from typing on your keyboard to your first-grade music recital.",1.0
71,157,heating the water causes a sharp movement in units of water.,heating the water can lead to boiling,0.9035992622375488
72,159,Having vitamin A inside your body will cause bad effects on your body.,"yellow, red and green (leafy) vegetables will cause bad effects on your body.",0.962612807750702
73,163,Newspaper writers are supposed to be unbiased.,Newspaper writers are supposed to generate trust amongst the newspaper readers.,0.9739441871643066
74,164,Jhon prefer to paticipate in small classes.,Jhon prefer to paticipate in small classes.,0.8974227905273438
75,166,"Gold is incredibly soft, malleable and ductile.",The pure form of gold have led to its widespread use in the making of jewellery and art.,0.972953736782074
76,168,Some fish have high levels of mercury,Some fish are linked to brain developmental problems,0.9720086455345154
77,170,you are better-equipped to tackle any challenge you’ll ever face if you read,you are better-equipped  to tackle any challenge you’ll ever face if you read,0.9439936876296996
78,171,Tourism will contribute to sustainable development,Tourism will be a source of competitive advantage,0.9425453543663024
79,172,Reza is walking alone in the city at night,there is a high chance of Reza getting mugged tonight,0.9340113401412964
80,175,It is the duty of the government to provide the necessary facilities for the attainment of establishment of a family.,It is the duty of the government to provide the necessary facilities for the attainment of establishment of a family. ,1.0
81,176,the implications of the proposed changes are that the company will have to reduce its annual cash flow,the implications of the proposed changes pose serious dangers to the company,0.9324827790260316
82,177,"When the arteries to the arms and legs start to narrow, restricting blood flow increases the risk of peripheral artery disease.",Smoking increases the risk of peripheral artery disease.,0.9513845443725586
83,179,Pantothenic acid can help releasing energy from food.,chicken can help releasing energy from food.,0.9626579880714417
84,180,Tanzania lacks flexibility,Tanzania education system could not prepare its young generation to be successful,0.930958330631256
85,181,Breathing around formic acid is so much painful and difficult.,Breathing around Yellow crazy ants's nest is so much painful and difficult.,0.9307188391685486
86,183,"Without proper nutrition, you are likely to get sick more often",People living in poverty are likely to get sick more often,0.9537490010261536
